"Gender Inequality Index (GII)"
"31","Greece","0.286"," a","0.223","..","0.181","..","0.150","..","0.141","..","0.129","..","0.126","..","0.122","..","0.121","..","0.115","..","0.120",".."
"127","Guatemala","0.585"," a","0.596","..","0.572","..","0.534","..","0.525","..","0.517","..","0.516","..","0.498","..","0.496","..","0.488","..","0.493",".."
"125","Guyana","..","..","0.544","..","0.534","..","0.524","..","0.518","..","0.516","..","0.513","..","0.510","..","0.509","..","0.506","..","0.504",".."
"168","Haiti","..","..","..","..","0.579","..","..","..","0.595","..","0.600","..","0.598","..","0.595","..","0.593","..","0.750","..","0.601",".."
"133","Honduras","..","..","0.547","..","0.519","..","0.513","..","0.510","..","0.507","..","..","..","0.474","..","0.465","..","0.461","..","..",".."
"45","Hungary","0.322"," a","0.288","..","0.260","..","0.256","..","0.263","..","0.262","..","0.263","..","0.255","..","0.260","..","0.259","..","0.259",".."
"6","Iceland","0.184"," a","0.148","..","0.125","..","0.088","..","0.087","..","0.082","..","0.078","..","0.074","..","0.067","..","0.054","..","0.062",".."
"130","India","0.687"," a","..","..","0.619","..","0.581","..","0.574","..","0.567","..","0.558","..","0.544","..","0.534","..","0.524","..","0.524",".."
"116","Indonesia","0.580"," a","0.563","..","0.534","..","0.485","..","0.480","..","0.475","..","0.471","..","0.471","..","0.468","..","0.462","..","0.453",".."
"60","Iran (Islamic Republic of)","0.664"," a","0.601","..","0.512","..","0.526","..","0.530","..","0.524","..","0.525","..","0.526","..","0.512","..","0.459","..","0.461",".."
"120","Iraq","0.693"," a","0.642","..","..","..","0.521","..","0.519","..","0.515","..","0.511","..","0.510","..","0.508","..","0.505","..","0.506",".."
"4","Ireland","0.203"," a","0.201","..","0.192","..","0.162","..","0.147","..","0.144","..","0.137","..","0.135","..","0.131","..","0.111","..","0.109",".."
"22","Israel","0.244"," a","0.197","..","0.173","..","0.143","..","0.137","..","0.133","..","0.124","..","0.120","..","0.107","..","0.099","..","0.098",".."
"28","Italy","0.198"," a","0.178","..","0.175","..","0.122","..","0.119","..","0.116","..","0.091","..","0.089","..","0.090","..","0.087","..","0.087",".."
"97","Jamaica","0.479"," a","0.472","..","0.471","..","0.453","..","0.442","..","0.439","..","0.436","..","0.428","..","0.425","..","0.412","..","0.412",".."
